area_type,availability,location,size,society,total_sqft,bath,balcony,price,bath_balcony_ratio,property_type
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1295,2,2,43.9,1,Flat++
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1162,2,1,59.9,2,Flat++
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Usquaya,1035,2,2,49.2,1,Flat++
Built-up  Area,Ready To Move,Attibele,4 Bedroom,Natic T,1600,4,0,52.8,inf,Flat+
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3 BHK,DSapeSk,1464,3,2,46,1.5,Flat++
Super built-up  Area,18-Oct,Hennur Road,3 BHK,DSapeSk,1866,2,2,61.58,1,Flat++
Super built-up  Area,Ready To Move,Geleyara Balaga Layout,2 BHK,Jahtsa ,700,1,1,26,1,Flat++
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,Prillot,1804,3,2,120,1.5,Flat++
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,Sodgere,913,2,1,32,2,Flat++
Super built-up  Area,21-Dec,Talaghattapura,3 BHK,Sodgere,1868,3,2,131,1.5,Flat++
Built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,SoitaCa,883,2,1,45,2,Flat+
Plot  Area,Ready To Move,Sundara Nagar,2 Bedroom,SoitaCa,900,2,1,110,2,Plot
Super built-up  Area,Ready To Move,Kogilu,3 BHK,SoitaCa,1664,2,3,73.95,0.67,Flat++
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoitaCa,2026,3,2,132,1.5,Flat++
Super built-up  Area,Ready To Move,Balagere,2 BHK,Soestin,1210,2,1,80.9,2,Flat++
Plot  Area,Ready To Move,Meenakunte,4 Bedroom,Sreat R,4111,4,2,250,2,Plot
Super built-up  Area,Ready To Move,Kadugodi,3 BHK,Alestrb,1762,3,3,91.45,1,Flat++
Super built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsen,1252,3,3,55,1,Flat++
Built-up  Area,Ready To Move,Gollarapalya Hosahalli,2 BHK,Mauner ,861,2,1,34.5,2,Flat+
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brnia G,1420,2,1,100,2,Flat+
Plot  Area,Ready To Move,Srirampura,6 Bedroom,GaicaVe,1450,6,0,250,inf,Plot
Built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,GaicaVe,1490,3,1,78.8,3,Flat+
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Saesttt,1075,2,1,46,2,Flat++
Super built-up  Area,18-Aug,Old Madras Road,3 BHK,Saesttt,1425,2,2,94,1,Flat++
Built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,Nae 2El,1200,2,1,40,2,Flat+
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,Bhinglv,1280,2,2,56,1,Flat++
Super built-up  Area,Ready To Move,Silver Springs Layout,2 BHK,Bhinglv,1084,2,2,50,1,Flat++
Super built-up  Area,18-Jul,Chandapura,2 BHK,SunceEs,1015,2,2,25.88,1,Flat++
Super built-up  Area,21-May,Kanakpura Road,2 BHK,GolusLi,1017,2,1,51.25,2,Flat++
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,Coush W,1027,2,2,44,1,Flat++
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Coush W,1069,2,2,45,1,Flat++
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Prersis,1349,2,1,98.2,2,Flat++
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,NaensGa,1005,2,1,50,2,Flat++
Super built-up  Area,Ready To Move,Jakkur,2 BHK,Arzzo P,1417,2,3,75,0.67,Flat++
Plot  Area,18-Jan,TC Palaya,3 Bedroom,SMikaay,1475,3,1,98,3,Plot
Carpet  Area,Ready To Move,Maruthi Sevanagar,2 BHK,SMikaay,950,2,2,47,1,Flat
Super built-up  Area,Ready To Move,RMV 2nd Stage,4 BHK,Prave E,2000,4,0,120,inf,Flat++
Plot  Area,Ready To Move,Giri Nagar,3 Bedroom,Ahriaup,880,3,1,140,3,Plot
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Ahriaup,1863,3,2,104,1.5,Flat++
Super built-up  Area,Ready To Move,Singasandra,2 BHK,Priewhi,1010,2,1,29.5,2,Flat++
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,Shodsth,1425,2,1,70,2,Flat++
Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,Swadeh ,1450,3,0,100,inf,Flat++
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Somumys,1847,3,2,105,1.5,Flat++
Super built-up  Area,Ready To Move,AECS Layout,2 BHK,Soran U,1100,2,3,45,0.67,Flat++
Super built-up  Area,20-Dec,Kanakpura Road,1 BHK,PrarePa,525,1,1,26,1,Flat++
Super built-up  Area,Ready To Move,Mallasandra,3 BHK,Puestig,1665,3,2,95,1.5,Flat++
Super built-up  Area,Ready To Move,Begur,4 BHK,Prntsrt,1664,4,3,65,1.33,Flat++
Super built-up  Area,Ready To Move,JP Nagar,3 BHK,Maerar ,1850,3,3,150,1,Flat++
Super built-up  Area,Ready To Move,Panathur,2 BHK,Vaesh T,1438,2,3,100,0.67,Flat++
Super built-up  Area,Ready To Move,Sunder Ram Shetty Nagar,3 BHK,MaisePa,1560,3,3,115,1,Flat++
Super built-up  Area,18-Apr,Yelahanka,2 BHK,JRrnauv,1350,2,1,55.55,2,Flat++
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1550,3,3,67,1,Flat++
Super built-up  Area,18-Apr,Malleshpalya,2 BHK,Gotis A,1140,2,2,46.5,1,Flat++
Plot  Area,Ready To Move,Srirampura,5 Bedroom,Gotis A,1200,5,2,180,2.5,Plot
Super built-up  Area,18-Dec,Kodathi,2 BHK,Gotis A,850,2,2,27,1,Flat++
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Gotis A,1280,2,2,75,1,Flat++
Built-up  Area,Ready To Move,Munnekollal,2 BHK,Puodse ,1170,2,2,52,1,Flat+
Super built-up  Area,Ready To Move,Motappa Layout,2 BHK,Puodse ,1113,2,1,51,2,Flat++
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Mileeou,1385,2,1,83.09,2,Flat++
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1128,2,1,65,2,Flat++
Plot  Area,Ready To Move,Marathahalli,2 Bedroom,PhestOn,1200,2,2,128,1,Plot
Plot  Area,Ready To Move,Akshaya Vana,4 Bedroom,PhestOn,1200,4,3,165,1.33,Plot
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2390,3,2,415,1.5,Flat++
Plot  Area,Ready To Move,Giri Nagar,4 Bedroom,NRowse ,2400,4,1,400,4,Plot
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,NRowse ,1464,3,2,56,1.5,Flat++
Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,Abncy R,1200,2,2,55,1,Flat++
Super built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,Abncy R,1200,2,2,52,1,Flat++
Super built-up  Area,Ready To Move,Kaggalipura,3 BHK,Baowsig,1150,2,1,55,2,Flat++
Built-up  Area,Ready To Move,Basavanna Nagar,3 BHK,Itala A,1645,3,2,95,1.5,Flat+
Super built-up  Area,20-Mar,Sarjapur  Road,2 BHK,HMinebo,1000,2,1,67,2,Flat++
Plot  Area,Ready To Move,Haralur Road,4 Bedroom,HMinebo,2650,4,2,198,2,Plot
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,HMinebo,1192,2,2,74,1,Flat++
Super built-up  Area,Ready To Move,Ulsoor,3 BHK,K borja,2135,3,2,215,1.5,Flat++
Super built-up  Area,19-Dec,Whitefield,2 BHK,Oreldhi,1173,2,1,58,2,Flat++
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,Sungspr,1020,2,2,45,1,Flat+
Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,3122,6,2,230,3,Flat++
Super built-up  Area,Ready To Move,Somasundara Palya,3 BHK,Clntsrt,1600,3,3,64,1,Flat++
Plot  Area,18-Mar,T.C PALYA,2 Bedroom,Clntsrt,1200,2,0,79,inf,Plot
Carpet  Area,Ready To Move,Muneshwara Nagar,2 BHK,Clntsrt,1230,2,3,48,0.67,Flat
Super built-up  Area,Ready To Move, Devarachikkanahalli,2 BHK,Clntsrt,1250,2,2,40,1,Flat++
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,PuamaPa,1325,2,2,76,1,Flat++
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brngsal,1850,3,1,150,3,Flat+
Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,PrarePa,525,2,2,21.53,1,Flat++
Super built-up  Area,Ready To Move,Basaveshwara Nagar,2 BHK,SSestth,1200,2,2,65,1,Flat++
Plot  Area,Ready To Move,Bull Temple Road,3 Bedroom,SSestth,1350,2,0,140,inf,Plot
Super built-up  Area,18-Jun,Bommasandra,3 BHK,SSestth,1260,3,1,49.36,3,Flat++
Super built-up  Area,Ready To Move,Prashanth Nagar,3 BHK,Vancy R,1800,3,0,150,inf,Flat++
Plot  Area,18-Dec,Suragajakkanahalli,3 Bedroom,PrhyaK ,11,3,2,74,1.5,Plot
Built-up  Area,Ready To Move,Ardendale,2 BHK,Miwel M,1100,2,1,43.25,2,Flat+
Super built-up  Area,Ready To Move,Harlur,2 BHK,SrEndPo,1508,2,1,77,2,Flat++
Carpet  Area,Ready To Move,Sampigehalli,3 BHK,Puens G,1592,3,2,75,1.5,Flat
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,SagasSa,1388,2,3,57,0.67,Flat++
Super built-up  Area,18-May,Electronic City Phase II,1 BHK,SNbay G,630,1,1,28.35,1,Flat++
Plot  Area,Ready To Move,RMV,3 Bedroom,Soianal,2000,3,2,365,1.5,Plot
Super built-up  Area,Ready To Move,Banashankari3rd stage bigbazar,3 BHK,Soianal,1762,3,1,125,3,Flat++
Super built-up  Area,21-Dec,Bagalur Main Road,2 BHK,Soianal,950,2,2,50,1,Flat++
Super built-up  Area,Ready To Move,Kodihalli,4 BHK,Soianal,3252,5,3,335,1.67,Flat++
Super built-up  Area,18-Aug,Magadi Road,2 BHK,Vrenty ,1116,2,1,50,2,Flat++
Super built-up  Area,Ready To Move,Narayanapura,2 BHK,AriosHe,1308,2,2,89.04,1,Flat++
Super built-up  Area,Ready To Move,MS Pallya,3 BHK,SLureSi,1200,3,0,90,inf,Flat++
Plot  Area,Ready To Move,Binny Mills Employees Colony,4 Bedroom,SLureSi,1500,4,2,230,2,Plot
Built-up  Area,Ready To Move,Bannerghatta Road,1 BHK,SLureSi,500,1,1,18.5,1,Flat+
Super built-up  Area,Ready To Move,Hennur,2 BHK,SLureSi,1075,2,1,52,2,Flat++
Super built-up  Area,18-Mar,Chandapura,1 BHK,Siissi ,530,1,0,11.66,inf,Flat++
Built-up  Area,Ready To Move,Bellandur,2 BHK,Mangsr ,1205,2,3,66,0.67,Flat+
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,Mangsr ,1075,2,2,60,1,Flat++
Built-up  Area,Ready To Move,KR Puram,2 BHK,HovasTe,930,2,2,39,1,Flat+
Super built-up  Area,Ready To Move,Balagere,2 BHK,Exncene,1380,2,1,60,2,Flat++
Super built-up  Area,Ready To Move,Hebbal,4 BHK,Prersis,2483,5,2,212,2.5,Flat++
Built-up  Area,Ready To Move,Kodigehaali,2 BHK,Shyas S,1166,2,2,55,1,Flat+
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,NadelCi,1050,2,1,65,2,Flat++
Super built-up  Area,19-Mar,Gopalapura,3 BHK,Sothadr,2023.71,3,2,275,1.5,Flat++
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200,2,2,46.8,1,Flat++
Super built-up  Area,Ready To Move,Lakshminarayana Pura,3 BHK,Puarent,1600,2,1,108,2,Flat++
Super built-up  Area,Ready To Move,Billekahalli,3 BHK,MaionPa,1935,3,2,110,1.5,Flat++
Super built-up  Area,18-May,8th Phase JP Nagar,1 BHK,Maian M,451,1,0,29.9,inf,Flat++
Super built-up  Area,Ready To Move,Electronic City,3 BHK,ShstaAl,1800,3,2,95,1.5,Flat++
Super built-up  Area,18-May,Jalahalli,3 BHK,Shard T,1400,3,0,77,inf,Flat++
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoitaCa,1801,3,2,115,1.5,Flat++
Built-up  Area,Ready To Move,Mahadevpura,2 BHK,Neagar ,1451,2,1,90,2,Flat+
Plot  Area,19-Jan,Anekal,2 Bedroom,Dhalsh ,1200,1,1,36,1,Plot
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1160,2,2,44,1,Flat++
Built-up  Area,Ready To Move,Kengeri,2 BHK,Wiowsri,1000,2,1,25,2,Flat+
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Wiowsri,950,2,1,40,2,Flat++
Built-up  Area,20-Dec,"Hoodi Circle, ",3 BHK,Saityat,1629,3,2,79,1.5,Flat+
Built-up  Area,Ready To Move,Vijayanagar,3 BHK,Saityat,1580,2,0,134,inf,Flat+
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saityat,1826,3,2,121,1.5,Flat++
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Eladero,1245,2,1,94,2,Flat+
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Lancyey,1145,2,2,45.79,1,Flat++
Super built-up  Area,Ready To Move,Sompura,2 BHK,Suiseit,825,2,1,33,2,Flat++
Super built-up  Area,18-Aug,Yeshwanthpur,3 BHK,Aroomba,1693,3,3,108,1,Flat++
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,Courf T,1113.27,2,2,53,1,Flat++
Built-up  Area,Ready To Move,Ashirvad Colony,2 BHK,VMowsea,1460,2,1,58,2,Flat+
Built-up  Area,Ready To Move,Doddathoguru,2 BHK,S onsMa,1050,2,1,32,2,Flat+
Built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,Tuentpa,1260,2,2,55,1,Flat+
Super built-up  Area,Ready To Move,K N Extension,6 BHK,Tovesee,700,3,1,120,3,Flat++
Built-up  Area,Ready To Move,Hosur Road,2 BHK,Tovesee,1656,2,1,120,2,Flat+
Super built-up  Area,Ready To Move,Chandapura,3 BHK,Vailsaf,1208,3,1,45,3,Flat++
Super built-up  Area,Ready To Move,Whitefield,3 BHK,BrlisCo,1910,3,2,161,1.5,Flat++
Super built-up  Area,Ready To Move,Whitefield,4 BHK,Haestt ,3252,4,1,230,4,Flat++
Plot  Area,Ready To Move,Battarahalli,2 Bedroom,BriumMi,1200,2,1,65,2,Plot
Super built-up  Area,Ready To Move,Gokula Extension,4 BHK,BriumMi,1200,4,1,175,4,Flat++
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,BriumMi,1175,2,1,82,2,Flat++
Plot  Area,Ready To Move,Kamakshipalya,2 Bedroom,PhestOn,1000,2,0,165,inf,Plot
Plot  Area,Ready To Move,Bannerghatta Road,4 Bedroom,PhestOn,1200,2,0,125,inf,Plot
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2390,3,2,410,1.5,Flat++
Super built-up  Area,19-Jan,Rajaji Nagar,7 BHK,Hoxiaa ,12000,6,3,2200,2,Flat++
Plot  Area,Ready To Move,Sultan Palaya,2 Bedroom,Hoxiaa ,550,1,1,62,1,Plot
Super built-up  Area,Ready To Move,Kengeri,1 BHK,Hoxiaa ,34.46Sq. Meter,1,0,18.5,inf,Flat++
Super built-up  Area,Ready To Move,Sanne Amanikere,2 BHK,Hoxiaa ,1185,2,1,38,2,Flat++
Super built-up  Area,Ready To Move,Kengeri,2 BHK,VBvenal,750,2,1,38,2,Flat++
Plot  Area,Ready To Move,Mahalakshmi Layout,6 Bedroom,JRrnauv,1200,7,3,250,2.33,Plot
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1550,3,3,64.5,1,Flat++
Built-up  Area,Ready To Move,Amco Colony,3 BHK,Hoeatan,1760,3,2,88,1.5,Flat+
Super built-up  Area,Ready To Move,Billekahalli,2 BHK,Asity S,1125,2,2,62,1,Flat++
Plot  Area,Ready To Move,Nagarbhavi,3 Bedroom,PrityTr,1350,3,2,150,1.5,Plot
Plot  Area,17-Dec,Anandapura,2 Bedroom,PrityTr,1000,2,1,55,2,Plot
Built-up  Area,18-Aug,Bommasandra Industrial Area,2 BHK,PrityTr,1090,2,2,31.48,1,Flat+
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,PrityTr,1200,2,0,60,inf,Plot
Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1991,4,2,103,2,Flat++
Super built-up  Area,18-Oct,Bommasandra,2 BHK,DSoodil,1060,2,1,26.5,2,Flat++
Super built-up  Area,Ready To Move,Ambalipura,2 BHK,SJarkte,1105,2,1,75,2,Flat++
Built-up  Area,Ready To Move,Hoodi,2 BHK,Dhgraas,985,2,2,67,1,Flat+
Plot  Area,Ready To Move,Chandapura,6 Bedroom,HiqueMa,1533,5,3,85,1.67,Plot
Super built-up  Area,17-Jul,Balagere,3 BHK,HiqueMa,1590,3,2,79,1.5,Flat++
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,Srshq T,1120,2,2,55,1,Flat++
Super built-up  Area,Ready To Move,Samethanahalli,2 BHK,SPontna,1069,2,1,55,2,Flat++
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Prionad,1933,3,2,140,1.5,Flat++
Built-up  Area,16-Mar,Hosur Road,2 BHK,PuendWe,1194,2,0,69,inf,Flat+
Super built-up  Area,Ready To Move,Brookefield,2 BHK,Danna S,1150,2,3,69,0.67,Flat++
Super built-up  Area,Ready To Move,Yelenahalli,2 BHK,GrrvaGr,1240,2,2,47.12,1,Flat++
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1419,2,2,48.1,1,Flat++
Plot  Area,Ready To Move,7th Phase JP Nagar,8 Bedroom,Bltonin,1200,8,2,250,4,Plot
Super built-up  Area,Ready To Move,Richmond Town,3 BHK,Bltonin,2150,4,2,240,2,Flat++
Super built-up  Area,Ready To Move,Suddaguntepalya,3 BHK,MSanaer,1450,3,2,55,1.5,Flat++
Super built-up  Area,18-Jul,Udayapur Village,3 BHK,Plowsri,1630,3,2,68.29,1.5,Flat++
Super built-up  Area,Ready To Move,Dasanapura,2 BHK,Tavenew,708,1,1,40,1,Flat++
Plot  Area,Ready To Move,Kasavanhalli,3 Bedroom,Ocavees,1000,4,3,110,1.33,Plot
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Ocavees,11890,4,3,700,1.33,Plot
Super built-up  Area,Ready To Move,Bellandur,2 BHK,Ocavees,1250,2,1,76,2,Flat++
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brnia G,1400,2,1,95,2,Flat++
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,SoystAm,1670,2,3,57,0.67,Flat++
Super built-up  Area,Ready To Move,Ardendale,3 BHK,SoystAm,1750,3,2,100,1.5,Flat++
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1404,2,1,71,2,Flat++
Super built-up  Area,Ready To Move,Hoodi,3 BHK,SMaxyay,1715,2,2,95,1,Flat++
Built-up  Area,18-Apr,Electronic City,1 BHK,Prarkun,630,1,1,34.65,1,Flat+
Super built-up  Area,Ready To Move,Harlur,3 BHK,SosicCl,1752.12,3,2,135,1.5,Flat++
Super built-up  Area,Ready To Move,Hulimavu,3 BHK,GrrvaGr,1650,3,2,78,1.5,Flat++
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1295,2,1,55.47,2,Flat++
Plot  Area,Ready To Move,Giri Nagar,3 Bedroom,Bancyri,1800,3,2,252,1.5,Plot
Super built-up  Area,18-Sep,Sarjapur  Road,2 BHK,PualeSk,1346,2,1,74.03,2,Flat++
Plot  Area,Ready To Move,Thippasandra,4 Bedroom,ElavuHo,1200,4,2,200,2,Plot
Super built-up  Area,Ready To Move,Hormavu,2 BHK,ElavuHo,1150,2,2,55,1,Flat++
Built-up  Area,Ready To Move,Chikkabidarakallu,4 Bedroom,Gontyol,3309,4,3,325,1.33,Flat+
Super built-up  Area,18-May,Chandapura,3 BHK,SunceEs,1190,2,2,30.35,1,Flat++
Super built-up  Area,Ready To Move,AECS Layout,3 BHK,DSutyng,1620,3,2,98,1.5,Flat++
Super built-up  Area,18-Apr,Marathahalli,2 BHK,Bancyri,950,2,1,46.96,2,Flat++
Super built-up  Area,Ready To Move,1 Giri Nagar,11 BHK,Bancyri,5000,9,3,360,3,Flat++
Super built-up  Area,Ready To Move,Harlur,3 BHK,SrEndPo,2450,3,0,120,inf,Flat++
Super built-up  Area,18-May,Electronic City Phase II,3 BHK,Sryalan,1220,2,1,35.23,2,Flat++
Super built-up  Area,Ready To Move,Hoysalanagar,2 BHK,RKntsrt,850,2,1,30,2,Flat++
Built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,Vantspa,1020,2,2,63,1,Flat+
Built-up  Area,Ready To Move,Chikkalasandra,2 BHK,Vantspa,1100,2,2,50,1,Flat+
Super built-up  Area,Ready To Move,Defence Colony,2 BHK,Vantspa,1150,2,2,126,1,Flat++
Super built-up  Area,18-Dec,Hebbal,3 BHK,Mahosya,1760,2,2,130,1,Flat++
Super built-up  Area,Ready To Move,Ambalipura,3 BHK,Prowsi ,1800,3,3,110,1,Flat++
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,Prowsi ,1070,2,1,54,2,Flat++
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,Prowsi ,1500,4,2,220,2,Plot
Plot  Area,Ready To Move,Vidyaranyapura,2 Bedroom,Prowsi ,1440,2,0,95,inf,Plot
Super built-up  Area,Ready To Move,Amruthahalli,2 BHK,Prowsi ,900,2,1,40,2,Flat++
Built-up  Area,Ready To Move,ITI Employees Layout,4 BHK,SMuilan,1200,4,1,230,4,Flat+
Super built-up  Area,18-May,Whitefield,2 BHK,SMuilan,1130,2,1,42.16,2,Flat++
Super built-up  Area,Ready To Move,Koramangala,2 BHK,Proodt ,1320,2,1,165,2,Flat++
Super built-up  Area,19-Jun,Kodigehalli,2 BHK,Sryamar,1270,2,1,98,2,Flat++
Built-up  Area,Ready To Move,Patelappa Layout,2 BHK,Sryamar,1200,2,1,62,2,Flat+
Super built-up  Area,Ready To Move,Ring Road Nagarbhavi,4 BHK,Prldsri,4800,4,1,235,4,Flat++
Super built-up  Area,Ready To Move,NS Palya,2 BHK,Prldsri,1200,2,1,74,2,Flat++
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Prldsri,929,2,0,50.17,inf,Flat++
Built-up  Area,Ready To Move,RMV 2nd Stage,4 BHK,LiaveEn,1150,4,2,260,2,Flat+
Plot  Area,Ready To Move,Basavangudi,4 Bedroom,Bemesrm,1125,4,3,180,1.33,Plot
Plot  Area,Ready To Move,Kenchenahalli,5 Bedroom,Bemesrm,500,3,2,65,1.5,Plot
Plot  Area,Ready To Move,3rd Block Hrbr Layout,5 Bedroom,Bemesrm,1200,5,2,190,2.5,Plot
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3 BHK,Vrensn ,1464,3,2,56,1.5,Flat++
Super built-up  Area,Ready To Move,7th Phase JP Nagar,4 BHK,Vrensn ,3600,4,3,400,1.33,Flat++
Plot  Area,Ready To Move,Bank Avenue,4 Bedroom,Vrensn ,2000,4,2,99,2,Plot
Super built-up  Area,Ready To Move,Chikkalasandra,2 BHK,Vrensn ,1208,2,1,49,2,Flat++
Super built-up  Area,Ready To Move,Hebbal Kempapura,2 BHK,Vrensn ,1130,2,2,60,1,Flat++
Super built-up  Area,Ready To Move,Surabhi Layout,3 BHK,VDdonel,1753,3,2,120,1.5,Flat++
Super built-up  Area,Ready To Move,Old Madras Road,5 BHK,Brica E,4500,7,3,337,2.33,Flat++
Plot  Area,Ready To Move,Banjara Layout,3 Bedroom,GoAirej,600,3,2,58,1.5,Plot
Super built-up  Area,22-Jun,Hoodi,2 BHK,GoAirej,1196,2,2,94.42,1,Flat++
Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,Prenty ,1150,3,3,52.5,1,Flat+
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1128,2,1,63,2,Flat++
Super built-up  Area,Ready To Move,Omkar Nagar,2 BHK,Shinei ,1000,2,1,53,2,Flat++
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Apows M,1035,2,1,45,2,Flat++
Built-up  Area,Ready To Move,Kereguddadahalli,2 BHK,Prityel,950,2,1,32,2,Flat+
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2,1,36,2,Flat++
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SVineun,1040,2,1,48.5,2,Flat++
Plot  Area,17-Oct,Maragondanahalli,2 Bedroom,Soiewre,720,2,1,45,2,Plot
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1511,3,1,95,3,Flat++
Built-up  Area,Ready To Move,Silk Board,3 BHK,Caycend,1300,3,1,58,3,Flat+
Super built-up  Area,19-Dec,Hoodi,3 BHK,Caycend,1545,3,1,68.75,3,Flat++
Built-up  Area,Ready To Move,Shampura,1 BHK,DSvvyx ,375,2,0,26,inf,Flat+
Super built-up  Area,Ready To Move,Vidyaranyapura,2 BHK,DSvvyx ,1062,2,3,38,0.67,Flat++
Super built-up  Area,Ready To Move,Kada Agrahara,2 BHK,DSvvyx ,1115,2,1,40,2,Flat++
Super built-up  Area,Ready To Move,JP Nagar,2 BHK,DSvvyx ,1000,2,1,35,2,Flat++
Super built-up  Area,17-May,Kambipura,2 BHK,Prrtht ,883,2,1,45,2,Flat++
Super built-up  Area,19-Apr,Sarjapur  Road,2 BHK,Brareio,1195,2,1,70,2,Flat++
Plot  Area,Ready To Move,BHEL Layout,4 Bedroom,Prlla C,1200,3,1,165,3,Plot
Built-up  Area,Ready To Move,Medahalli,1 Bedroom,Prlla C,700,1,0,41,inf,Flat+
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1246,2,1,67,2,Flat++
Plot  Area,Ready To Move,8th Phase JP Nagar,4 Bedroom,SNnia E,660,4,2,90,2,Plot
Plot  Area,Ready To Move,Banashankari Stage III,4 Bedroom,SNnia E,8500,4,2,145,2,Plot
Super built-up  Area,Ready To Move,Kashi Nagar,4 BHK,SNnia E,1600,4,1,80,4,Flat++
Super built-up  Area,18-Dec,Haralur Road,4 BHK,SNnia E,2805,5,3,154,1.67,Flat++
Super built-up  Area,Ready To Move,Begur Road,3 BHK,OlarkLa,1584,3,1,65,3,Flat++
Plot  Area,Ready To Move,Sector 7 HSR Layout,4 Bedroom,OlarkLa,3000,5,1,275,5,Plot
Built-up  Area,Ready To Move,Hosur Road,3 BHK,OlarkLa,1175,2,2,48,1,Flat+
Built-up  Area,19-Jul,"Yemlur, Old Airport Road, ",3 BHK,OlarkLa,1595,3,2,115,1.5,Flat+
Super built-up  Area,Ready To Move,VHBCS Layout,2 BHK,OlarkLa,1353,2,2,110,1,Flat++
Super built-up  Area,18-Apr,Electronic City,3 BHK,Prarkun,1599,3,2,125,1.5,Flat++
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SuMTBPr,1150,2,1,70,2,Flat++
Super built-up  Area,17-Dec,Jakkur,4 BHK,Lecco C,5230,6,1,465,6,Flat++
